kernel,mode,size,cycles,INDRD,INDWR,INDRMW,STRRD,RANGE,ALUS,ALUV,INV,IDLE,Total,IND_Fill,IND_Drain,IND_Build,IND_Request,Avg-SPD-Latency,L1-SPD-Hits,L1-SPD-Misses,M1-SPD-Hits,M1-SPD-Misses,L2-SPD-Hits,L2-SPD-Misses,M2-SPD-Hits,M2-SPD-Misses,L3-SPD-Hits,L3-SPD-Misses,M3-SPD-Hits,M3-SPD-Misses,Avg-6-Latency,L1-6-Hits,L1-6-Misses,M1-6-Hits,M1-6-Misses,L2-6-Hits,L2-6-Misses,M2-6-Hits,M2-6-Misses,L3-6-Hits,L3-6-Misses,M3-6-Hits,M3-6-Misses,Avg-7-Latency,L1-7-Hits,L1-7-Misses,M1-7-Hits,M1-7-Misses,L2-7-Hits,L2-7-Misses,M2-7-Hits,M2-7-Misses,L3-7-Hits,L3-7-Misses,M3-7-Hits,M3-7-Misses,Avg-8-Latency,L1-8-Hits,L1-8-Misses,M1-8-Hits,M1-8-Misses,L2-8-Hits,L2-8-Misses,M2-8-Hits,M2-8-Misses,L3-8-Hits,L3-8-Misses,M3-8-Hits,M3-8-Misses,Avg-9-Latency,L1-9-Hits,L1-9-Misses,M1-9-Hits,M1-9-Misses,L2-9-Hits,L2-9-Misses,M2-9-Hits,M2-9-Misses,L3-9-Hits,L3-9-Misses,M3-9-Hits,M3-9-Misses,Avg-10-Latency,L1-10-Hits,L1-10-Misses,M1-10-Hits,M1-10-Misses,L2-10-Hits,L2-10-Misses,M2-10-Hits,M2-10-Misses,L3-10-Hits,L3-10-Misses,M3-10-Hits,M3-10-Misses,Avg-11-Latency,L1-11-Hits,L1-11-Misses,M1-11-Hits,M1-11-Misses,L2-11-Hits,L2-11-Misses,M2-11-Hits,M2-11-Misses,L3-11-Hits,L3-11-Misses,M3-11-Hits,M3-11-Misses,Avg-T-Latency,L1-T-Hits,L1-T-Misses,M1-T-Hits,M1-T-Misses,L2-T-Hits,L2-T-Misses,M2-T-Hits,M2-T-Misses,L3-T-Hits,L3-T-Misses,M3-T-Hits,M3-T-Misses,LDFP,STFP,VFP,SFP,SINT,VINT,LDINT,STINT,VEC,Total,LSQ-LD-OCC,DRAM-RD,DRAM-WR,DRAM-ACT,DRAM-RD-BW,DRAM-WR-BW,DRAM-total-BW,DRAM-RB-hitrate,DRAM-CTRL-occ,DRAM-PRE-STB-energy,DRAM-ACT-STB-energy,DRAM-ACTPRE-energy,DRAM-RD-energy,DRAM-WR-energy,DRAM-DQ-energy,DRAM-Total-energy,CORE-ST-Power,CORE-DY-Power,CORE-Power,LLC-ST-Power,LLC-DY-Power,LLC-Power,CORE-ST-Energy,CORE-DY-Energy,CORE-Energy,LLC-ST-Energy,LLC-DY-Energy,LLC-Energy,
BFS,BASE,22,1991453630.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.073554,1544541,70800,2,70798,60768,10028,8612,1416,183,1199,0,1199,187.658904,1112841,2111492,997582,1113910,403,1113507,0,1113507,18532,1094975,1,1094974,76.126302,27349174,9204645,7852540,1352105,162,1351943,1,1351942,5973,1345969,0,1345969,189.516766,3495634,33657377,462960,33194417,329475,32864929,0,32864929,13566523,19254569,846,19253723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.548359,183362243,43713953,9447348,34266605,399020,33914915,9228,33905687,13020239,20841441,854,20840587,2097526,2098409,0,613,2234956649,0,857902930,12593106,0,3110283861,21.397240032172732,125156523,3685770,96812930,11.967930468530943,0.35244698418952797,12.320377452720471,24.859354994559126,3.2322754849999997,31.466708878125,654.746646306375,383.8454388,348.435760032,8.66893104,220.578005616,1647.7414906724998,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA,22,695256366.0,626875692,46087558,0,12676836,10196693,488939709,0,0,22280981,1184776488,11336123,0,0,661627127,6.45968,37438005,848577,545834,302743,0,0,0,302743,0,0,0,302743,5.312836,467017,66497,11,66486,48151,18330,16880,1450,224,1144,0,1144,38.277969,34425,4147,1964,2183,0,2183,0,2183,13,2170,0,2170,45.851782,60654,7875,5535,2340,0,2340,0,2340,13,2327,0,2327,168.765037,38576,62833,1179,61654,398,61256,0,61256,14048,46299,1,46298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.531453,135512205,1372583,879099,493484,141756,102093,16870,383966,17299,52240,18,350965,2097554,2098435,0,613,5918959078,0,529666435,4719704,0,6458226602,4.995555123397485,121354025,3669677,67696283,33.23877256524838,1.0051216611144376,34.24389422636282,45.853240691912966,28.13584615,22.0786401675,213.64491519450004,268.96261428,337.84960559999996,8.631080304,214.04057782399997,1065.20743337,0,0,0,0,0,0,0,0,0,0,0,0,
PR,BASE,22,807770578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.974683,2093245,6270,232,6038,5943,95,0,95,31,64,0,64,209.031463,73447,35598590,10183,35588407,453521,35134886,0,35134886,19738170,15396115,2179,15393936,0,1041997,6579,0,6579,5504,1061,0,1061,15,1045,0,1045,10.340722,34918876,1837,1680,157,74,83,0,83,0,83,0,83,8.640803,2094100,3466,10,3456,3383,73,0,73,9,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,97.732795,47270166,36066252,457046,35609206,476779,35132497,0,35132497,19733092,15398807,2193,15396614,138412633,12583626,0,8390497,1089527870,0,168068555,2197,0,1626701714,37.08139901842335,72081363,896793,69662952,16.99302618832018,0.2114170196046684,17.204443207924847,4.542734678031607,6.6785717,22.65101737125,252.26066044875003,276.26554752,200.67451459199998,2.109257136,124.93860307199998,878.8996001399998,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA,22,645732916.0,625569815,0,11871017,556540918,8411718,0,0,0,7686830,1202393468,13726321,0,0,623714511,0,0,0,0,0,0,0,0,0,0,0,0,0,182.643411,0,129,1,128,3,125,0,125,99,26,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046834,1742,302,1440,7,1136,3,1133,32,1044,0,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,5.064007,2101963,1596,607,989,0,65,0,65,42,23,0,23,5.068306,1054494,479,415,64,0,64,0,64,42,22,0,22,30.458099,9535015,114883,109822,5061,566,3271,7,3264,849,2258,11,2247,8389777,12583628,0,16779105,101122209,0,17741027,124708,0,228044823,1.232544594616261,137724690,1179149,64515090,40.61576561257647,0.3477375001265491,40.963503112703016,53.5541346701008,29.861496950000003,21.02326210125,197.73018157875003,256.1913756,383.42553696,2.773358448,237.803372368,1098.947087056,0,0,0,0,0,0,0,0,0,0,0,0,
SSSP,BASE,21,1165881501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.021701,2412498,196969,71931,125038,67723,55582,4213,51369,9341,925,65,860,109.205001,2864605,18768969,473868,18295101,342232,17952874,0,17952874,12592005,5176109,405,5175704,43.82292,19292409,4175924,3523451,652473,664,651809,0,651809,27958,623850,3,623847,56.956974,32879190,7599386,6832519,766867,361,766506,0,766506,4193,762313,0,762313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.747273,201778452,34360806,12360019,22000787,2049638,19961963,31942,19930021,12923835,6747449,614,6746835,7882466,7963465,0,88511,1885544541,0,687068283,90060564,0,2680972880,18.923699476433733,52101417,5299797,37405760,8.510026056274764,0.8656465247954164,9.37567258107018,34.83454896964375,2.1046866150000003,12.1588945575,391.75169353650006,148.3147488,145.050344928,12.465122543999998,98.270878368,808.011682734,0,0,0,0,0,0,0,0,0,0,0,0,
SSSP,MAA,21,606894981.0,211391236,0,261282578,552242,6532631,19964572,18706216,0,131685813,518429475,6887654,0,0,465786160,7.371031,15850224,514886,172962,341924,0,0,0,341924,0,0,0,341924,5.51743,600346,84196,149,84047,11329,65700,180,65520,146,103,0,103,107.73652,9107,308594,2234,306360,4152,302210,0,302210,118920,171508,2,171506,21.126629,296180,17803,8561,9242,8,9234,0,9234,333,8901,0,8901,15.174877,584944,21581,11756,9825,5,9820,0,9820,50,9770,0,9770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.927237,57935439,1445250,543440,901810,388177,424118,14708,495210,143794,223721,24,309497,4482844,4556831,0,81206,2263802431,0,217460877,10995647,0,2502798577,2.8990196526750927,69690388,26296065,36417992,21.867297010837426,8.251121568892493,30.11841857972992,62.05923767179937,23.84789275,11.8608639975,196.47471274650002,144.56874912,194.01804019199997,61.84834488,164.328807536,773.099518472,0,0,0,0,0,0,0,0,0,0,0,0,
BC,BASE,20,1374009985.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.524772,851326,36391,2184,34207,17702,16505,3392,13113,9644,3423,24,3399,40.529051,12979762,1992935,1435994,556941,1844,555097,0,555097,100663,454434,0,454434,31.62809,17191443,2852083,2089024,763059,141,762918,1,762917,10626,752291,0,752291,12.192024,13097536,751519,235342,516177,54479,461703,11660,450043,86944,362389,3,362386,54.495185,6395005,6332689,505496,5827193,120826,5706369,0,5706369,4475671,1123413,66,1123347,85.944194,572422,3657569,201159,3456410,78885,3377396,0,3377396,2870015,425422,41,425381,23.530782,135135538,24228741,4634533,19594208,535212,19003900,3548,19000352,14846169,3887093,215,3886878,37102242,5244521,0,61524793,1494428725,0,392368875,19261045,0,2073468826,7.354962001548695,26326828,5714273,23050275,3.648752572073375,0.7919665941631647,4.44071916623654,28.060290437585152,0.807432771,7.495023346875,470.89038239062506,91.412937,73.293889152,13.439970096,54.854364912,711.3865668975001,0,0,0,0,0,0,0,0,0,0,0,0,
BC,MAA,20,645600220.0,175947521,4094210,44428660,3848219,10281790,54103690,0,0,420579411,292704090,9340647,0,0,215129744,7.037542,51773934,1255808,729705,526103,0,0,0,526103,0,0,0,526103,6.002952,120221,16590,12,16578,12543,4035,3688,347,68,249,1,248,42.326884,82623,12791,8437,4354,5,4349,0,4349,596,3753,0,3753,27.224949,181685,20624,15241,5383,4,5379,0,5379,51,5328,0,5328,22.953476,11983271,3353109,2837664,515445,66075,449378,13112,436266,188795,221458,5,221453,51.108381,4014433,4071681,526488,3545193,103110,3442078,0,3442078,3061247,378850,50,378800,49.656829,4150221,3651573,352960,3298613,86672,3161936,0,3161936,2697784,386157,43,386114,15.877289,107930496,13010333,4806367,8203966,244991,7374844,3597,7897069,6079123,1180130,141,1705811,44391237,19855405,0,53146392,1324204869,0,246694328,9912441,0,1742887227,7.158686592816348,42539866,6261830,19260507,12.54781810842539,1.847027535673981,14.394845644099371,60.533119586663545,10.3826704,6.29913219375,217.51449409125004,76.65268692,118.430986944,14.72782416,83.548503552,517.1736278610001,0,0,0,0,0,0,0,0,0,0,0,0,
IS,BASE,b,1341696860.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.282471,10599194,12994136,476409,12517727,515581,7945770,25952,7919818,4056325,3863493,1,3863492,5.026206,8388789,12,10,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.703853,19760328,13333582,862070,12471512,513988,7947232,25388,7921844,4009673,3912142,1,3912141,6291923,7340814,0,199,384058805,0,76478077,41945100,0,519261489,4.978664042494666,19338518,16810400,33803591,2.744761115174252,2.3859394112064454,5.130700526380697,6.487959058691601,0.6188749075,10.9966719075,454.8627825555001,134.09626116,53.838434112,39.5380608,61.88694761599999,755.2191581510001,0,0,0,0,0,0,0,0,0,0,0,0,
IS,MAA,b,385910451.0,0,0,353099086,346051540,0,0,0,0,32807513,699150626,4657134,0,0,348441952,0,0,0,0,0,0,0,0,0,0,0,0,0,39.07867,6289944,526009,394918,131091,102942,28149,28130,19,1,18,0,18,114.475567,158543,103607,103598,9,2,7,5,2,1,1,0,1,122.044502,116242,145904,145888,16,2,14,12,2,0,2,0,2,108.358959,133011,129135,129118,17,6,11,9,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.491609,6749570,901436,768411,133025,100405,30790,28629,2161,29,2104,2,2104,6291927,7340816,0,199,82382228,0,9412633,8407120,0,116981516,6.0021458787521675,35782246,33224614,26415322,17.656996189537896,16.394915031238327,34.05191122077622,61.72073037376284,30.148998249999998,8.6028077625,123.50506333350002,104.85873432,99.617772864,78.144292128,118.13974432,532.8684147280001,0,0,0,0,0,0,0,0,0,0,0,0,
CG,BASE,c,276075417.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.876312,45411684,57389,57363,26,13,13,0,13,4,9,0,9,8.384648,328640,46392,20018,26374,23135,3239,0,3239,3234,5,0,5,14.290077,41886017,3563535,3563438,97,30,67,31,36,0,36,0,36,62.401308,1315198,35506814,220040,35286774,5630524,29655326,0,29655326,20040437,4688,0,4688,24.640213,295265,192257,132352,59905,22344,37548,0,37548,57,4209,0,4209,62.18893,501316,8882326,52175,8830151,1408894,7421221,0,7421221,5010790,4687,0,4687,27.464737,90706381,48254675,4108642,44146033,7088411,37061407,19,37061388,25004615,20908,12,20896,366986093,3075441,0,180643156,1294405993,0,183509666,378627,0,2400186082,54.76482261566368,34358470,299310,4342602,23.699645256717975,0.20645683063850798,23.906102087356484,87.47005145742168,3.6236395850000003,1.429743470625,94.71713147287501,17.35290792,95.65398048,0.70397712,59.33411936,269.1918598235,0,0,0,0,0,0,0,0,0,0,0,0,
