kernel,mode,size,cores,DX100s,cycles,INDRD,INDWR,INDRMW,STRRD,RANGE,ALUS,ALUV,INV,IDLE,Total,IND_Fill,IND_Drain,IND_Build,IND_Request,Avg-SPD-Latency,L1-SPD-Hits,L1-SPD-Misses,M1-SPD-Hits,M1-SPD-Misses,L2-SPD-Hits,L2-SPD-Misses,M2-SPD-Hits,M2-SPD-Misses,L3-SPD-Hits,L3-SPD-Misses,M3-SPD-Hits,M3-SPD-Misses,Avg-6-Latency,L1-6-Hits,L1-6-Misses,M1-6-Hits,M1-6-Misses,L2-6-Hits,L2-6-Misses,M2-6-Hits,M2-6-Misses,L3-6-Hits,L3-6-Misses,M3-6-Hits,M3-6-Misses,Avg-7-Latency,L1-7-Hits,L1-7-Misses,M1-7-Hits,M1-7-Misses,L2-7-Hits,L2-7-Misses,M2-7-Hits,M2-7-Misses,L3-7-Hits,L3-7-Misses,M3-7-Hits,M3-7-Misses,Avg-8-Latency,L1-8-Hits,L1-8-Misses,M1-8-Hits,M1-8-Misses,L2-8-Hits,L2-8-Misses,M2-8-Hits,M2-8-Misses,L3-8-Hits,L3-8-Misses,M3-8-Hits,M3-8-Misses,Avg-9-Latency,L1-9-Hits,L1-9-Misses,M1-9-Hits,M1-9-Misses,L2-9-Hits,L2-9-Misses,M2-9-Hits,M2-9-Misses,L3-9-Hits,L3-9-Misses,M3-9-Hits,M3-9-Misses,Avg-10-Latency,L1-10-Hits,L1-10-Misses,M1-10-Hits,M1-10-Misses,L2-10-Hits,L2-10-Misses,M2-10-Hits,M2-10-Misses,L3-10-Hits,L3-10-Misses,M3-10-Hits,M3-10-Misses,Avg-11-Latency,L1-11-Hits,L1-11-Misses,M1-11-Hits,M1-11-Misses,L2-11-Hits,L2-11-Misses,M2-11-Hits,M2-11-Misses,L3-11-Hits,L3-11-Misses,M3-11-Hits,M3-11-Misses,Avg-12-Latency,L1-12-Hits,L1-12-Misses,M1-12-Hits,M1-12-Misses,L2-12-Hits,L2-12-Misses,M2-12-Hits,M2-12-Misses,L3-12-Hits,L3-12-Misses,M3-12-Hits,M3-12-Misses,Avg-13-Latency,L1-13-Hits,L1-13-Misses,M1-13-Hits,M1-13-Misses,L2-13-Hits,L2-13-Misses,M2-13-Hits,M2-13-Misses,L3-13-Hits,L3-13-Misses,M3-13-Hits,M3-13-Misses,Avg-14-Latency,L1-14-Hits,L1-14-Misses,M1-14-Hits,M1-14-Misses,L2-14-Hits,L2-14-Misses,M2-14-Hits,M2-14-Misses,L3-14-Hits,L3-14-Misses,M3-14-Hits,M3-14-Misses,Avg-15-Latency,L1-15-Hits,L1-15-Misses,M1-15-Hits,M1-15-Misses,L2-15-Hits,L2-15-Misses,M2-15-Hits,M2-15-Misses,L3-15-Hits,L3-15-Misses,M3-15-Hits,M3-15-Misses,Avg-16-Latency,L1-16-Hits,L1-16-Misses,M1-16-Hits,M1-16-Misses,L2-16-Hits,L2-16-Misses,M2-16-Hits,M2-16-Misses,L3-16-Hits,L3-16-Misses,M3-16-Hits,M3-16-Misses,Avg-T-Latency,L1-T-Hits,L1-T-Misses,M1-T-Hits,M1-T-Misses,L2-T-Hits,L2-T-Misses,M2-T-Hits,M2-T-Misses,L3-T-Hits,L3-T-Misses,M3-T-Hits,M3-T-Misses,LDFP,STFP,VFP,SFP,SINT,VINT,LDINT,STINT,VEC,Total,LSQ-LD-OCC,DRAM-RD,DRAM-WR,DRAM-ACT,DRAM-RD-BW,DRAM-WR-BW,DRAM-total-BW,DRAM-RB-hitrate,DRAM-CTRL-occ,DRAM-PRE-STB-energy,DRAM-ACT-STB-energy,DRAM-ACTPRE-energy,DRAM-RD-energy,DRAM-WR-energy,DRAM-DQ-energy,DRAM-Total-energy,CORE-ST-Power,CORE-DY-Power,CORE-Power,LLC-ST-Power,LLC-DY-Power,LLC-Power,CORE-ST-Energy,CORE-DY-Energy,CORE-Energy,LLC-ST-Energy,LLC-DY-Energy,LLC-Energy,
BFS,BASE,22,4,0,1989023612.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.074074,1543851,70600,1,70599,64341,6257,3081,3176,254,2864,0,2864,187.822663,1110776,2111637,997635,1114002,387,1113615,0,1113615,18618,1094997,0,1094997,75.980109,27359797,9196348,7845936,1350412,177,1350235,2,1350233,5860,1344373,0,1344373,189.543562,3485574,33653612,460238,33193374,329102,32864261,0,32864261,13565949,19254560,876,19253684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.482353,183230994,43809298,9505135,34304163,446861,33856499,3398,33853101,12988245,20820928,878,20820050,2098740,2099323,0,610,2263154100,0,857517888,12592859,0,3138043299,21.385293354358474,125147193,3686318,96781402,11.981658597456425,0.35293003941093887,12.334588636867364,24.878704889134013,3.2453399899999997,31.4554001925,653.9112269325,383.71258392,348.409785312,8.670219936,220.56297083199996,1646.722187125,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA,22,4,1,696428870.0,626941696,46031823,0,8228016,9931267,488948295,0,0,23432747,1180081097,11531482,0,0,661442037,5.909606,37119592,561572,274211,287361,0,0,0,287361,0,0,0,287361,5.383149,464879,66137,6,66131,53483,12648,9190,3458,368,2719,3,2716,37.249205,33929,4038,1915,2123,3,2120,0,2120,10,2110,0,2110,46.649339,59367,7579,5289,2290,3,2287,0,2287,7,2280,0,2280,170.057234,38127,61244,1018,60226,386,59839,0,59839,13605,45304,0,45304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.249322,130323663,1216309,681853,534456,150466,92619,9112,378902,14896,53347,19,348723,2098730,2099321,0,603,6167128795,0,501449197,4718941,0,6678103620,4.518527697244219,121408343,3669791,67666503,33.19766455182324,1.003460615497404,34.20112516732064,45.90061361164854,28.0867195,22.06816090875,214.06947468825004,268.83862308,338.000826912,8.631348432,214.133765408,1065.742199429,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,BASE,23,8,0,2225803594.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.096206,1544646,72243,1,72242,66139,6096,2544,3552,199,3270,2,3268,196.891629,1121721,2105588,991641,1113947,177,1113770,0,1113770,10865,1102905,0,1102905,78.244418,27555906,9125572,7787156,1338416,149,1338267,0,1338267,8043,1330224,0,1330224,234.675765,3412644,33850260,527044,33323216,129672,33193532,0,33193532,8642370,24515256,1229,24514027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.650547,180993091,43441765,9502481,33939284,255130,33678196,3098,33675098,8153885,25484613,1205,25483408,4196312,4197549,0,1250,4534635920,0,1715903578,25180758,0,6284216891,44.55231351968957,392547966,8258404,265317272,33.584714327401976,0.70655349960538,34.29126782700735,33.804127913436105,5.21677077,86.233711588125,1442.184693894375,1051.92471792,1092.853537344,19.423766208,686.1805054399999,4378.8009323945,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA,23,8,1,806788274.0,733138969,57484670,0,8925194,19922474,540176495,0,0,16134867,1359647802,13002497,0,0,777621142,5.900261,37255750,551702,254846,296856,0,0,0,296856,0,0,0,296856,6.037129,474743,67576,5,67571,54257,13313,9553,3760,299,3240,0,3240,75.585843,16568,4052,1904,2148,1,2147,0,2147,14,2133,0,2133,77.676381,53479,13606,11157,2449,1,2448,0,2448,8,2440,0,2440,236.634287,19518,62842,713,62129,184,61945,0,61945,15688,45668,2,45666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.948369,191850027,1509202,969539,539663,145733,112143,8775,389968,16471,53417,19,339998,4196280,4197527,0,1243,18156626824,0,1488145300,9176012,0,19662500067,11.002884744310276,244413290,7467673,151949675,57.69006213724423,1.7626313175957864,59.452693454840016,39.67401379198316,26.36501215,49.55989971375,498.09901042725005,603.7274562,680.4465993599998,17.563966896,431.220208656,2280.6171412529998,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA,23,8,2,780144937.0,874321611,62613136,0,16384259,23124775,595592738,0,0,25105512,1572036519,14435989,0,0,453770620,5.909383,37291761,548948,256590,292358,0,0,0,292358,0,0,0,292358,6.253359,476109,67778,8,67770,54317,13452,9643,3809,345,3205,0,3205,75.070101,16602,4154,1912,2242,1,2241,0,2241,15,2226,0,2226,80.205279,54854,14204,11685,2519,2,2517,0,2517,10,2507,0,2507,235.432109,19807,64510,746,63764,203,63561,0,63561,15997,46967,4,46963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.767811,192583785,1561242,1013454,547788,152707,114516,9858,389296,16432,54111,25,338724,4196302,4197547,0,1243,17832379861,0,1461261664,9175823,0,19311362734,10.834505455916874,244936091,7466358,152156986,59.78789390890708,1.8225073249410175,61.610401233848094,39.716517568337856,27.3307805,49.63014376875,479.35091403825004,604.57058616,681.902077344,17.560874016,432.11299268799996,2265.127588015,0,0,0,0,0,0,0,0,0,0,0,0,
PR,BASE,22,4,0,801338996.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.228798,2093507,6040,261,5779,5690,89,0,89,24,65,0,65,209.432331,74028,35611365,10392,35600973,454051,35146922,0,35146922,19737497,15408857,2239,15406618,0,1041984,6592,0,6592,5508,1078,0,1078,13,1064,0,1064,10.098502,34928828,1839,1649,190,88,102,0,102,0,102,0,102,8.777776,2094259,3273,26,3247,3163,77,0,77,11,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.546301,47401495,35926860,322311,35604549,477103,35127391,0,35127391,19732850,15393897,2290,15391607,138412627,12583615,0,8390491,1064388087,0,168071017,2142,0,1609952376,37.307988177828356,72077864,896715,69661291,17.12858144990013,0.21309532583883442,17.341676775738964,4.540331777727687,6.704512355,22.65069688875,250.00965781725003,276.26058516,200.664773376,2.10907368,124.932479248,876.6272661700001,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA,22,4,1,645160613.0,625246948,0,11869559,555447106,8411590,0,0,0,7454930,1200975203,13854805,0,0,623261702,0,0,0,0,0,0,0,0,0,0,0,0,0,191.341085,0,129,1,128,0,128,0,128,97,31,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046850,1726,286,1440,4,1069,1,1068,43,1025,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,6.041249,2101677,1877,834,1043,0,73,0,73,2,25,0,25,5.073815,1054449,531,464,67,0,67,0,67,42,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.988531,9716514,138306,133089,5217,582,3209,4,3205,791,2268,12,2256,8389773,12583617,0,16779097,93118088,0,17775885,124157,0,220075213,1.2567960407533403,137553344,1179964,64439026,40.6012190473701,0.3482865297117823,40.94950557708189,53.55187090327292,29.7830906,20.997984530625,197.56388554687504,255.88569096,382.948509696,2.775275328,237.511423296,1097.6827693575,0,0,0,0,0,0,0,0,0,0,0,0,
PR,BASE,23,8,0,932016225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.615067,2093072,6361,345,6016,5923,93,0,93,28,65,0,65,254.735307,37856,35626935,10172,35616763,227028,35389735,0,35389735,16116082,19273228,2910,19270318,0,1041409,7167,0,7167,6123,1044,0,1044,20,1024,0,1024,12.025156,34771279,95113,84609,10504,10329,175,0,175,51,124,0,124,10.526522,2093807,3713,14,3699,3620,79,0,79,15,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.881255,47496491,35844080,182537,35661543,263525,35398088,0,35398088,16117603,19279993,2988,19277005,276825745,25167143,0,16780971,2132106096,0,336444571,3649,0,3223537326,77.56632617026231,175214425,1787764,171080312,35.79992781597831,0.36527712916333593,36.165204945141646,3.3456518438876515,7.87825346,55.6316580075,577.5958342905,678.49524192,487.79695919999995,4.204820927999999,303.027747568,2106.752261914,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA,23,8,1,698828537.0,673039062,0,18136836,589701319,16834536,0,0,0,7412425,1297711753,13958649,0,0,677217249,0,0,0,0,0,0,0,0,0,0,0,0,0,226.984496,0,129,0,129,1,128,0,128,94,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046148,2428,874,1554,0,506,0,506,3,449,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,6.027143,2101078,2392,1178,1214,0,70,0,70,3,13,0,13,5.046553,1054465,429,362,67,0,67,0,67,52,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.256837,9460158,134231,128878,5353,835,2428,2,2426,649,1564,10,1554,16779481,25167141,0,33558181,186857480,0,35607651,247502,0,440826432,1.743430505931792,275034025,2361692,137481854,74.94653522051784,0.6435590384063034,75.59009425892415,50.43836455485,27.152102475,44.818248568125,428.90056693237506,546.07491864,765.6947256,5.554699584,474.9014675039999,2265.9446268284996,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA,23,8,2,682450368.0,1221392824,0,116084929,1141515742,16847216,0,0,0,7446629,2495840711,169104936,0,0,499179219,0,0,0,0,0,0,0,0,0,0,0,0,0,168.751938,0,129,0,129,2,127,0,127,107,20,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046077,2499,837,1662,1,595,0,595,6,534,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,6.176637,2101000,2470,1231,1239,0,84,0,84,8,21,0,21,5.13069,1054425,467,402,65,0,65,0,65,50,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.660921,9721746,140919,135663,5256,873,2464,4,2460,563,1696,9,1687,16779481,25167141,0,33558181,187983561,0,35710022,247502,0,442054884,1.6660126964899857,274473284,2362762,138267110,76.58871326201796,0.659302423489756,77.24801568550772,50.054513493521,27.979250425,45.07808689125,417.08395384575005,549.2224212,764.1336226559998,5.557216224,473.943310752,2255.018611569,0,0,0,0,0,0,0,0,0,0,0,0,
BC,BASE,20,4,0,1409804594.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.803096,810369,29554,844,28710,18280,10430,818,9612,8155,1413,45,1368,40.688983,13039895,1980980,1420416,560564,1998,558566,0,558566,104447,454119,3,454116,31.614938,17166033,2937094,2168201,768893,149,768744,0,768744,10632,758112,0,758112,12.246818,14223418,743392,227112,516280,54767,461514,11477,450037,86780,362640,3,362637,54.208379,6683613,6352974,484273,5868701,134705,5734008,2595,5731413,4502008,1122071,60,1122011,84.302941,632617,3668153,170786,3497367,92838,3404403,2912,3401491,2896849,421277,54,421223,57.723953,856765,390355,42447,347908,1875,277053,0,277053,70726,201368,3,201365,56.161987,4479117,8185329,42182,8143147,281670,7861478,4904,7856574,7225598,566050,44,566006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.779668,144806841,24354728,4627816,19726912,583921,19080040,11438,19068602,14913796,3885498,195,3885303,37104671,5245688,0,61524813,1489350588,0,407259743,30891543,0,2096965847,7.180054501889751,26289378,5709696,23039501,3.551053012748858,0.7712405056780005,4.322293518426859,27.9994758598327,0.7808787825,7.492253833125,483.42434518837507,91.37563836,73.189628352,13.429204992,54.782414687999996,723.6934854135001,0,0,0,0,0,0,0,0,0,0,0,0,
BC,MAA,20,4,1,630381986.0,177022418,4091385,44418149,3933633,10227928,54634816,0,0,404310334,294328329,9356358,0,0,216175594,8.442748,52333441,1250698,749486,501212,0,0,0,501212,0,0,0,501212,5.820951,119447,16433,14,16419,14639,1780,951,829,112,578,0,578,41.202944,83109,11936,7639,4297,5,4292,0,4292,558,3734,0,3734,29.925705,160846,19936,14626,5310,8,5302,0,5302,55,5247,0,5247,23.31662,12022236,3355490,2839909,515581,66268,449332,12731,436601,188380,222118,3,222115,51.250894,4008919,4102701,532627,3570074,116551,3453523,2308,3451215,3068347,380975,53,380922,49.463011,4150366,3694492,357960,3336532,99959,3186604,4152,3182452,2716194,388365,69,388296,25.65069,5310573,393854,204538,189316,252,173958,0,173958,16196,156990,0,156990,79.376308,146914,79077,604,78473,12630,65843,4790,61053,42305,16306,2,16304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.541645,107534138,13065836,4808915,8256921,314845,7383451,12347,7865311,6081422,1178060,114,1672153,44393100,19856545,0,53145262,1256146705,0,245494994,10070394,0,1673770562,7.606857504133423,42727555,6258551,19330253,12.90743699238152,1.8906266154500617,14.798063607831581,60.53931496412473,10.64833735,6.3168528,212.16334520100003,76.89260268,118.95351311999998,14.720111952,83.864213472,512.910639225,0,0,0,0,0,0,0,0,0,0,0,0,
BC,BASE,21,8,0,1728135032.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.609133,673774,27394,62,27332,17870,9462,583,8879,8239,592,0,592,49.210347,8979332,1963036,1403032,560004,1408,558596,0,558596,93906,464690,2,464688,34.945323,15421550,2471938,1940093,531845,2121,529724,6,529718,12751,516967,1,516966,12.284173,15117056,774471,252113,522358,100953,421406,29113,392293,81710,310225,0,310225,74.294388,6929502,6396787,897121,5499666,65390,5434291,2334,5431957,3079559,2229028,240,2228788,131.919101,776196,3799171,494224,3304947,43769,3261165,5458,3255707,1987843,1240735,160,1240575,89.639145,733590,355659,5076,350583,1550,277353,0,277353,70895,198682,1,198681,106.473832,1712032,8192191,29504,8162687,121353,8041339,6482,8034857,5871394,2128760,271,2128489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.899469,123332911,23998289,5106256,18892033,290490,18535656,15422,18520234,11230704,7088133,700,7087433,72922876,10490918,0,120801650,2984167419,0,811438729,60813522,0,4189962894,15.812597680438518,115277789,14323642,84862338,12.702924902963424,1.5783799311325517,14.281304834095977,34.52052392847422,1.64843315,27.590897323125,1172.739138891375,336.52599048,320.933364576,33.689205984,221.87764987199998,2113.3562471265,0,0,0,0,0,0,0,0,0,0,0,0,
BC,MAA,21,8,1,602492759.0,230364871,5851142,62846108,6621293,13636699,67435431,0,0,302685018,386755544,11477617,0,0,287584504,7.426349,46008062,486964,360355,126609,0,0,0,126609,0,0,0,126609,7.473922,114455,16107,7,16100,14582,1518,804,714,82,568,2,566,50.676037,33150,6909,4762,2147,2,2145,0,2145,550,1595,0,1595,35.945952,63958,9303,7311,1992,3,1989,0,1989,18,1971,0,1971,24.243019,10896322,3227107,2704731,522376,106893,415506,29327,386179,198748,168595,3,168592,45.47235,4842926,4310395,949067,3361328,62833,3298495,2251,3296244,3011776,283761,71,283690,41.382579,4647084,3882733,694860,3187873,53956,3101486,5433,3096053,2718530,300025,52,299973,20.407697,5592212,264644,142259,122385,72,114347,0,114347,8473,105386,2,105384,76.436791,124201,47036,45,46991,10024,36967,6469,30498,24287,4139,2,4137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.881472,113140479,12278266,4968467,7309799,179498,6964536,14826,7075936,5978218,867761,135,993852,87352886,39415669,0,104185665,3485197421,0,568005166,19363257,0,4391224395,15.099491758062015,65104863,14385987,41944727,20.577725221244044,4.546985799238821,25.124711020482867,47.23326395427902,10.24653125,13.6936709775,403.37334582450006,166.75110852,181.25193859199996,33.835841423999995,136.0883352,934.994240538,0,0,0,0,0,0,0,0,0,0,0,0,
BC,MAA,21,8,2,573224630.0,264723651,8964381,64609418,10692417,15149489,72347984,0,0,316369988,436487340,9495817,0,0,159571078,8.675953,45939055,574979,448420,126559,0,0,0,126559,0,0,0,126559,7.189057,114914,16171,7,16164,14729,1431,702,729,96,573,2,571,50.171806,33637,7124,4934,2190,0,2190,0,2190,525,1665,0,1665,36.277867,67019,9898,7771,2127,10,2117,0,2117,20,2097,0,2097,24.445108,10906206,3225512,2703086,522426,106943,415495,29327,386168,198104,169263,2,169261,45.522363,4843421,4312949,949690,3363259,62761,3300498,2251,3298247,3012121,285423,76,285347,41.380583,4647209,3887676,697021,3190655,54012,3104419,5433,3098986,2719636,301749,61,301688,20.455977,5591361,264534,142328,122206,75,114327,0,114327,8320,105582,0,105582,75.793887,124493,47311,60,47251,9997,37254,6469,30785,24569,4193,1,4192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.684376,109515335,12343855,5039821,7304034,179412,6958678,15424,7069360,5975423,863684,151,989639,87352574,39415151,0,104185829,3155067387,0,540387384,19363761,0,4033476045,16.080902827738242,64782407,14383204,41900409,21.52127533196163,4.778224641140175,26.299499973101803,47.072461804153825,10.7630968,13.687347286875,382.89070706062506,166.63518444,180.354221088,33.829295808,135.531526032,912.9282817155001,0,0,0,0,0,0,0,0,0,0,0,0,
IS,BASE,b,4,0,1300988954.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.413767,10635782,12957535,453085,12504450,515108,7946198,26392,7919806,4043027,3876779,0,3876779,138.90517,136413,125735,125734,1,0,1,0,1,1,0,0,0,124.471455,110495,151651,151650,1,0,1,0,1,0,1,0,1,111.032166,116677,145471,145470,1,0,1,0,1,0,1,0,1,5.032671,8388771,21,19,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.833733,19769062,13345816,808242,12537574,513601,7947577,25761,7921816,4076208,3845579,1,3845578,6291827,7340686,0,147,384541751,0,76521953,41945286,0,519788344,5.081775045755492,19246934,16719460,33633135,2.8172391468095035,2.447284186952354,5.264523333761858,6.487330923417005,0.6418769955,10.941313096875,440.68716417262505,133.4207586,53.58346425599999,39.32416992,61.574466527999995,739.5313365735001,0,0,0,0,0,0,0,0,0,0,0,0,
IS,MAA,b,4,1,383612766.0,0,0,350849309,345950610,0,0,0,0,32759539,696799919,3991001,0,0,346858308,0,0,0,0,0,0,0,0,0,0,0,0,0,39.202832,6261418,554533,423450,131083,102876,28207,28197,10,0,10,0,10,127.571136,138517,123630,123605,25,5,20,16,4,0,4,0,4,117.724125,123041,139103,139089,14,0,14,11,3,0,3,0,3,107.730328,125076,137070,137056,14,1,13,9,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.901953,7126996,886134,754903,131231,100405,30829,28639,2190,44,2115,3,2112,6291829,7340686,0,147,83310121,0,9496952,8407288,0,117993741,5.34652042155785,35774843,33238779,26504973,17.759079531462625,16.50014564116214,34.25922517262477,61.59457766178393,30.197048199999998,8.63084608875,122.66297471325001,105.20604108,99.59716291199999,78.177608208,118.151320864,532.425953866,0,0,0,0,0,0,0,0,0,0,0,0,
