kernel,mode/TS,size,cycles,INDRD,INDWR,INDRMW,STRRD,RANGE,ALUS,ALUV,INV,IDLE,Total,IND_Fill,IND_Drain,IND_Build,IND_Request,Avg-SPD-Latency,L1-SPD-Hits,L1-SPD-Misses,M1-SPD-Hits,M1-SPD-Misses,L2-SPD-Hits,L2-SPD-Misses,M2-SPD-Hits,M2-SPD-Misses,L3-SPD-Hits,L3-SPD-Misses,M3-SPD-Hits,M3-SPD-Misses,Avg-6-Latency,L1-6-Hits,L1-6-Misses,M1-6-Hits,M1-6-Misses,L2-6-Hits,L2-6-Misses,M2-6-Hits,M2-6-Misses,L3-6-Hits,L3-6-Misses,M3-6-Hits,M3-6-Misses,Avg-7-Latency,L1-7-Hits,L1-7-Misses,M1-7-Hits,M1-7-Misses,L2-7-Hits,L2-7-Misses,M2-7-Hits,M2-7-Misses,L3-7-Hits,L3-7-Misses,M3-7-Hits,M3-7-Misses,Avg-8-Latency,L1-8-Hits,L1-8-Misses,M1-8-Hits,M1-8-Misses,L2-8-Hits,L2-8-Misses,M2-8-Hits,M2-8-Misses,L3-8-Hits,L3-8-Misses,M3-8-Hits,M3-8-Misses,Avg-9-Latency,L1-9-Hits,L1-9-Misses,M1-9-Hits,M1-9-Misses,L2-9-Hits,L2-9-Misses,M2-9-Hits,M2-9-Misses,L3-9-Hits,L3-9-Misses,M3-9-Hits,M3-9-Misses,Avg-10-Latency,L1-10-Hits,L1-10-Misses,M1-10-Hits,M1-10-Misses,L2-10-Hits,L2-10-Misses,M2-10-Hits,M2-10-Misses,L3-10-Hits,L3-10-Misses,M3-10-Hits,M3-10-Misses,Avg-11-Latency,L1-11-Hits,L1-11-Misses,M1-11-Hits,M1-11-Misses,L2-11-Hits,L2-11-Misses,M2-11-Hits,M2-11-Misses,L3-11-Hits,L3-11-Misses,M3-11-Hits,M3-11-Misses,Avg-12-Latency,L1-12-Hits,L1-12-Misses,M1-12-Hits,M1-12-Misses,L2-12-Hits,L2-12-Misses,M2-12-Hits,M2-12-Misses,L3-12-Hits,L3-12-Misses,M3-12-Hits,M3-12-Misses,Avg-13-Latency,L1-13-Hits,L1-13-Misses,M1-13-Hits,M1-13-Misses,L2-13-Hits,L2-13-Misses,M2-13-Hits,M2-13-Misses,L3-13-Hits,L3-13-Misses,M3-13-Hits,M3-13-Misses,Avg-14-Latency,L1-14-Hits,L1-14-Misses,M1-14-Hits,M1-14-Misses,L2-14-Hits,L2-14-Misses,M2-14-Hits,M2-14-Misses,L3-14-Hits,L3-14-Misses,M3-14-Hits,M3-14-Misses,Avg-15-Latency,L1-15-Hits,L1-15-Misses,M1-15-Hits,M1-15-Misses,L2-15-Hits,L2-15-Misses,M2-15-Hits,M2-15-Misses,L3-15-Hits,L3-15-Misses,M3-15-Hits,M3-15-Misses,Avg-16-Latency,L1-16-Hits,L1-16-Misses,M1-16-Hits,M1-16-Misses,L2-16-Hits,L2-16-Misses,M2-16-Hits,M2-16-Misses,L3-16-Hits,L3-16-Misses,M3-16-Hits,M3-16-Misses,Avg-T-Latency,L1-T-Hits,L1-T-Misses,M1-T-Hits,M1-T-Misses,L2-T-Hits,L2-T-Misses,M2-T-Hits,M2-T-Misses,L3-T-Hits,L3-T-Misses,M3-T-Hits,M3-T-Misses,LDFP,STFP,VFP,SFP,SINT,VINT,LDINT,STINT,VEC,Total,LSQ-LD-OCC,DRAM-RD,DRAM-WR,DRAM-ACT,DRAM-RD-BW,DRAM-WR-BW,DRAM-total-BW,DRAM-RB-hitrate,DRAM-CTRL-occ,DRAM-PRE-STB-energy,DRAM-ACT-STB-energy,DRAM-ACTPRE-energy,DRAM-RD-energy,DRAM-WR-energy,DRAM-DQ-energy,DRAM-Total-energy,CORE-ST-Power,CORE-DY-Power,CORE-Power,LLC-ST-Power,LLC-DY-Power,LLC-Power,CORE-ST-Energy,CORE-DY-Energy,CORE-Energy,LLC-ST-Energy,LLC-DY-Energy,LLC-Energy,
BFS,BASE,22,1989023612.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.074074,1543851,70600,1,70599,64341,6257,3081,3176,254,2864,0,2864,187.822663,1110776,2111637,997635,1114002,387,1113615,0,1113615,18618,1094997,0,1094997,75.980109,27359797,9196348,7845936,1350412,177,1350235,2,1350233,5860,1344373,0,1344373,189.543562,3485574,33653612,460238,33193374,329102,32864261,0,32864261,13565949,19254560,876,19253684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.482353,183230994,43809298,9505135,34304163,446861,33856499,3398,33853101,12988245,20820928,878,20820050,2098740,2099323,0,610,2263154100,0,857517888,12592859,0,3138043299,21.385293354358474,125147193,3686318,96781402,11.981658597456425,0.35293003941093887,12.334588636867364,24.878704889134013,3.2453399899999997,31.4554001925,653.9112269325,383.71258392,348.409785312,8.670219936,220.56297083199996,1646.722187125,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA/1K,22,1186750465.0,1069914048,69236785,0,11283936,12814184,848356336,0,0,47280684,2011605289,14469701,0,0,1124681132,6.638466,36391041,1001087,679753,321334,0,0,0,321334,0,0,0,321334,5.387864,460171,65476,5,65471,54468,11001,7547,3454,349,2764,1,2763,39.098582,34618,4200,1987,2213,3,2210,0,2210,9,2201,0,2201,48.689883,61389,7956,5616,2340,2,2338,0,2338,7,2331,0,2331,169.261511,39131,63415,1112,62303,416,61887,0,61887,14103,46817,1,46816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.273687,212611009,3066429,2460816,605613,122301,262240,7681,572841,15007,53730,20,371992,2098726,2099319,0,603,10252587662,0,848198601,8038195,0,11113934109,4.4950471424796525,121848966,3682466,102805817,19.552315839289534,0.5909015124465248,20.14321735173606,18.103525657223443,23.7281828,33.540548540625,370.259809738875,408.53835852,339.227521344,8.661160032,214.90981158399998,1375.1372097595,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA/2K,22,969368441.0,882979054,62994109,0,7829686,11652820,700547346,0,0,23099668,1666003015,14644915,0,0,931328248,6.222733,36932145,750842,438573,312269,0,0,0,312269,0,0,0,312269,5.44285,463788,66005,7,65998,54453,11524,7987,3537,456,2661,2,2659,38.057274,34035,4092,1944,2148,2,2146,0,2146,12,2134,0,2134,48.736041,59138,7919,5604,2315,2,2313,0,2313,6,2307,0,2307,171.074701,38138,61456,959,60497,427,60070,0,60070,13715,45396,0,45396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.512975,170693245,2127064,1560183,566881,126111,164164,7869,467835,15337,55022,15,366547,2098726,2099319,0,603,8140968851,0,668956259,6333203,0,8821236741,4.508671993098623,121729679,3680820,89608021,23.91351224821554,0.7230885259582153,24.636600774173754,28.54823024027678,26.033082,29.23214107875,299.96588488125,356.07256236,338.895426336,8.65728864,214.702774288,1247.526077584,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA/4K,22,778535147.0,698842609,55892674,0,6864172,10850923,542589431,0,0,23709765,1315039809,14331965,0,0,740403318,6.029337,37052237,635055,335142,299913,0,0,0,299913,0,0,0,299913,5.343128,462783,65833,11,65822,54139,11677,8284,3393,344,2774,6,2768,39.340678,34506,4257,2007,2250,2,2248,0,2248,11,2237,0,2237,49.668961,62046,8384,5999,2385,3,2382,0,2382,9,2373,0,2373,170.545123,38860,64606,1191,63415,441,62974,0,62974,14472,47485,2,47483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26279,150843680,1878919,1322188,556731,133847,137305,8424,431848,14759,53705,28,356644,2098732,2099325,0,603,7142995346,0,584081463,5429732,0,7737400435,4.715424188092628,121200907,3673449,73774932,29.645816244289716,0.8985278801318691,30.544344124421585,40.92067069398941,27.023201,24.067635331875,240.11859890362504,293.16157152,337.42332508799996,8.639952048,213.78489747199998,1117.1959803635,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA/8K,22,738756542.0,666415420,49632496,0,6009816,10317712,520332261,0,0,22671600,1252707705,13644840,0,0,702403076,5.990359,36978902,618506,318556,299950,0,0,0,299950,0,0,0,299950,5.814797,457871,65135,6,65129,53042,12070,8720,3350,330,2740,1,2739,38.138708,35599,4289,2035,2254,1,2253,0,2253,7,2246,0,2246,48.769117,62507,8528,6084,2444,1,2443,0,2443,10,2433,0,2433,170.642627,39811,65219,1125,64094,425,63669,0,63669,14471,48265,0,48265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.332662,136021358,1485010,903779,581231,180071,106776,8793,400380,14892,53600,29,355968,2098728,2099323,0,603,6615536542,0,539239719,4955815,0,7164576738,4.640383154070146,121147078,3666518,70840122,31.228230096670146,0.9451228180475211,32.17335291471767,43.243264940463696,27.5489664,23.102366045625,227.49377659087503,281.44139112,337.273465152,8.623650336,213.68087635199996,1091.6155255965,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA/16K,22,696428870.0,626941696,46031823,0,8228016,9931267,488948295,0,0,23432747,1180081097,11531482,0,0,661442037,5.909606,37119592,561572,274211,287361,0,0,0,287361,0,0,0,287361,5.383149,464879,66137,6,66131,53483,12648,9190,3458,368,2719,3,2716,37.249205,33929,4038,1915,2123,3,2120,0,2120,10,2110,0,2110,46.649339,59367,7579,5289,2290,3,2287,0,2287,7,2280,0,2280,170.057234,38127,61244,1018,60226,386,59839,0,59839,13605,45304,0,45304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.249322,130323663,1216309,681853,534456,150466,92619,9112,378902,14896,53347,19,348723,2098730,2099321,0,603,6167128795,0,501449197,4718941,0,6678103620,4.518527697244219,121408343,3669791,67666503,33.19766455182324,1.003460615497404,34.20112516732064,45.90061361164854,28.0867195,22.06816090875,214.06947468825004,268.83862308,338.000826912,8.631348432,214.133765408,1065.742199429,0,0,0,0,0,0,0,0,0,0,0,0,
BFS,MAA/32K,22,674591256.0,607305182,43864647,0,16261958,10206045,472197050,0,0,23411935,1149834882,9227713,0,0,641942116,5.850327,36788051,539619,268915,270704,0,0,0,270704,0,0,0,270704,5.338447,459042,65314,6,65308,53092,12197,8848,3349,336,2731,4,2727,38.736462,34274,4191,1962,2229,2,2227,0,2227,15,2212,0,2212,47.197453,61472,8323,5942,2381,4,2377,0,2377,5,2372,0,2372,171.665183,38362,64161,1101,63060,428,62632,0,62632,14311,47341,1,47340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.366377,93265788,1073912,560842,513070,135056,81984,8744,370987,14509,52331,26,350052,2098720,2099313,0,603,4385872640,0,352779002,4599548,0,4748047380,3.875180808974485,122187160,3682008,65938092,34.492178863990624,1.0393929977146894,35.53157186170532,47.61378576840994,28.2773771,21.501313974375,207.18845831212502,261.94828992,340.1690534399999,8.660082816,215.488015616,1054.9552140785,0,0,0,0,0,0,0,0,0,0,0,0,
PR,BASE,22,801338996.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.228798,2093507,6040,261,5779,5690,89,0,89,24,65,0,65,209.432331,74028,35611365,10392,35600973,454051,35146922,0,35146922,19737497,15408857,2239,15406618,0,1041984,6592,0,6592,5508,1078,0,1078,13,1064,0,1064,10.098502,34928828,1839,1649,190,88,102,0,102,0,102,0,102,8.777776,2094259,3273,26,3247,3163,77,0,77,11,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.546301,47401495,35926860,322311,35604549,477103,35127391,0,35127391,19732850,15393897,2290,15391607,138412627,12583615,0,8390491,1064388087,0,168071017,2142,0,1609952376,37.307988177828356,72077864,896715,69661291,17.12858144990013,0.21309532583883442,17.341676775738964,4.540331777727687,6.704512355,22.65069688875,250.00965781725003,276.26058516,200.664773376,2.10907368,124.932479248,876.6272661700001,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA/1K,22,1102897862.0,1066834316,0,28913467,644071646,8665531,0,0,0,7084171,1748484960,18487645,0,0,1077260138,0,0,0,0,0,0,0,0,0,0,0,0,0,32.448562,0,2051,1,2050,1828,222,0,222,205,17,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039456,10144,115,10029,9,2092,1,2091,997,1090,3,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,6.204108,2074726,35596,13884,21712,3,1059,0,1059,8,78,2,76,5.287954,1053268,7484,6455,1029,0,1029,0,1029,970,59,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.011153,10198340,179442,137407,42035,5873,8534,12,8522,4123,2364,19,2345,8405133,12591297,0,16805977,92190529,0,20067959,1967608,0,223348459,1.084585858409322,138311174,1306100,103079457,23.881287599750312,0.2255157615395115,24.106803361289824,26.16998309249327,27.214135149999997,33.6317125125,340.7836534875,409.63974492,385.058308416,3.0719472,239.024773088,1411.210139624,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA/2K,22,887814793.0,857242168,0,23399591,555827934,8533832,0,0,0,7087694,1445003525,20164828,0,0,860476931,0,0,0,0,0,0,0,0,0,0,0,0,0,42.076098,0,1025,1,1024,742,282,0,282,277,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042874,5702,244,5458,1,1547,1,1546,499,1046,0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,6.109071,2088136,17620,6920,10700,2,527,0,527,1,44,1,43,5.178525,1053460,3732,3215,517,0,517,0,517,478,39,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.794305,9849025,166402,137508,28894,9790,5697,6,5691,2404,2264,12,2252,8396941,12587201,0,16791641,91361848,0,18725068,984317,0,220158780,1.1851339915201717,138184329,1239538,85171112,29.6395893850654,0.26587238663788854,29.905461771703287,38.912100322106255,28.4926033,27.78987511125,273.35975456475,338.47988352,384.705171936,2.9153933759999995,238.69366030399996,1265.943738812,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA/4K,22,703974417.0,677295774,0,19107171,559999333,8470192,0,0,0,7114189,1264872470,23296170,0,0,673106775,0,0,0,0,0,0,0,0,0,0,0,0,0,83.460039,0,513,1,512,138,374,0,374,360,14,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045271,3305,286,3019,5,1271,2,1269,227,1041,0,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,6.088727,2096354,8142,3292,4850,2,269,0,269,3,52,0,52,5.111922,1053951,1980,1720,260,0,260,0,260,218,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.857811,9553351,146114,130792,15322,4300,4504,15,4489,1773,2199,10,2189,8392845,12585153,0,16784473,90702931,0,18031439,492713,0,218297222,1.2333461394554115,137908105,1203839,68711493,37.305140552775775,0.32564716263712734,37.6307877154129,50.60704995970727,29.1613674,22.409633715,216.25096019700004,272.99531148,383.93616432,2.831429328,238.159648128,1136.583147168,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA/8K,22,687432041.0,665455767,0,14496740,500114080,8432444,0,0,0,7274281,1188499031,14128482,0,0,665824025,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,257,1,256,35,221,0,221,202,19,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046359,2217,265,1952,2,1132,1,1131,108,1022,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,6.049366,2099815,4024,1707,2317,1,137,0,137,1,33,0,33,5.077949,1054251,1017,887,130,0,130,0,130,104,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.871649,9645982,140022,132043,7979,1693,3783,9,3774,1218,2301,12,2289,8390797,12584129,0,16780889,92669390,0,17893570,247093,0,219871488,1.218631179880053,137438634,1188435,68155741,38.072800762349765,0.32921637575358287,38.402017138103346,50.83518573129466,29.4349318,22.2126485625,210.72545292150002,270.67087596,382.629157056,2.79519912,237.329542128,1126.362875748,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA/16K,22,645160613.0,625246948,0,11869559,555447106,8411590,0,0,0,7454930,1200975203,13854805,0,0,623261702,0,0,0,0,0,0,0,0,0,0,0,0,0,191.341085,0,129,1,128,0,128,0,128,97,31,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046850,1726,286,1440,4,1069,1,1068,43,1025,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,6.041249,2101677,1877,834,1043,0,73,0,73,2,25,0,25,5.073815,1054449,531,464,67,0,67,0,67,42,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.988531,9716514,138306,133089,5217,582,3209,4,3205,791,2268,12,2256,8389773,12583617,0,16779097,93118088,0,17775885,124157,0,220075213,1.2567960407533403,137553344,1179964,64439026,40.6012190473701,0.3482865297117823,40.94950557708189,53.55187090327292,29.7830906,20.997984530625,197.56388554687504,255.88569096,382.948509696,2.775275328,237.511423296,1097.6827693575,0,0,0,0,0,0,0,0,0,0,0,0,
PR,MAA/32K,22,638812209.0,620130045,0,10353987,607387903,8405264,0,0,0,7342133,1246277199,13184443,0,0,617299589,0,0,0,0,0,0,0,0,0,0,0,0,0,235.830769,0,65,1,64,0,64,0,64,47,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047110,1466,241,1225,1,1045,0,1045,27,1012,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,6.010885,2102523,925,384,541,0,37,0,37,4,9,0,9,5.023916,1054605,263,229,34,0,34,0,34,25,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.680851,9713901,117287,113572,3715,72,2900,4,2896,568,2242,9,2233,8389261,12583361,0,16778201,91396948,0,17540233,62731,0,218054819,1.2047506874111638,138491963,1170241,63856045,41.28450946676638,0.3488493093487176,41.633358776115095,54.27822046972709,29.9127302,20.803609299375,195.60335743312504,253.5380886,385.561624992,2.752406832,239.101693248,1097.3607804045,0,0,0,0,0,0,0,0,0,0,0,0,
