kernel,mode/TS,size,cycles,INDRD,INDWR,INDRMW,STRRD,RANGE,ALUS,ALUV,INV,IDLE,Total,IND_Fill,IND_Drain,IND_Build,IND_Request,Avg-SPD-Latency,L1-SPD-Hits,L1-SPD-Misses,M1-SPD-Hits,M1-SPD-Misses,L2-SPD-Hits,L2-SPD-Misses,M2-SPD-Hits,M2-SPD-Misses,L3-SPD-Hits,L3-SPD-Misses,M3-SPD-Hits,M3-SPD-Misses,Avg-6-Latency,L1-6-Hits,L1-6-Misses,M1-6-Hits,M1-6-Misses,L2-6-Hits,L2-6-Misses,M2-6-Hits,M2-6-Misses,L3-6-Hits,L3-6-Misses,M3-6-Hits,M3-6-Misses,Avg-7-Latency,L1-7-Hits,L1-7-Misses,M1-7-Hits,M1-7-Misses,L2-7-Hits,L2-7-Misses,M2-7-Hits,M2-7-Misses,L3-7-Hits,L3-7-Misses,M3-7-Hits,M3-7-Misses,Avg-8-Latency,L1-8-Hits,L1-8-Misses,M1-8-Hits,M1-8-Misses,L2-8-Hits,L2-8-Misses,M2-8-Hits,M2-8-Misses,L3-8-Hits,L3-8-Misses,M3-8-Hits,M3-8-Misses,Avg-9-Latency,L1-9-Hits,L1-9-Misses,M1-9-Hits,M1-9-Misses,L2-9-Hits,L2-9-Misses,M2-9-Hits,M2-9-Misses,L3-9-Hits,L3-9-Misses,M3-9-Hits,M3-9-Misses,Avg-10-Latency,L1-10-Hits,L1-10-Misses,M1-10-Hits,M1-10-Misses,L2-10-Hits,L2-10-Misses,M2-10-Hits,M2-10-Misses,L3-10-Hits,L3-10-Misses,M3-10-Hits,M3-10-Misses,Avg-11-Latency,L1-11-Hits,L1-11-Misses,M1-11-Hits,M1-11-Misses,L2-11-Hits,L2-11-Misses,M2-11-Hits,M2-11-Misses,L3-11-Hits,L3-11-Misses,M3-11-Hits,M3-11-Misses,Avg-12-Latency,L1-12-Hits,L1-12-Misses,M1-12-Hits,M1-12-Misses,L2-12-Hits,L2-12-Misses,M2-12-Hits,M2-12-Misses,L3-12-Hits,L3-12-Misses,M3-12-Hits,M3-12-Misses,Avg-13-Latency,L1-13-Hits,L1-13-Misses,M1-13-Hits,M1-13-Misses,L2-13-Hits,L2-13-Misses,M2-13-Hits,M2-13-Misses,L3-13-Hits,L3-13-Misses,M3-13-Hits,M3-13-Misses,Avg-14-Latency,L1-14-Hits,L1-14-Misses,M1-14-Hits,M1-14-Misses,L2-14-Hits,L2-14-Misses,M2-14-Hits,M2-14-Misses,L3-14-Hits,L3-14-Misses,M3-14-Hits,M3-14-Misses,Avg-15-Latency,L1-15-Hits,L1-15-Misses,M1-15-Hits,M1-15-Misses,L2-15-Hits,L2-15-Misses,M2-15-Hits,M2-15-Misses,L3-15-Hits,L3-15-Misses,M3-15-Hits,M3-15-Misses,Avg-16-Latency,L1-16-Hits,L1-16-Misses,M1-16-Hits,M1-16-Misses,L2-16-Hits,L2-16-Misses,M2-16-Hits,M2-16-Misses,L3-16-Hits,L3-16-Misses,M3-16-Hits,M3-16-Misses,Avg-T-Latency,L1-T-Hits,L1-T-Misses,M1-T-Hits,M1-T-Misses,L2-T-Hits,L2-T-Misses,M2-T-Hits,M2-T-Misses,L3-T-Hits,L3-T-Misses,M3-T-Hits,M3-T-Misses,LDFP,STFP,VFP,SFP,SINT,VINT,LDINT,STINT,VEC,Total,LSQ-LD-OCC,DRAM-RD,DRAM-WR,DRAM-ACT,DRAM-RD-BW,DRAM-WR-BW,DRAM-total-BW,DRAM-RB-hitrate,DRAM-CTRL-occ,DRAM-PRE-STB-energy,DRAM-ACT-STB-energy,DRAM-ACTPRE-energy,DRAM-RD-energy,DRAM-WR-energy,DRAM-DQ-energy,DRAM-Total-energy,CORE-ST-Power,CORE-DY-Power,CORE-Power,LLC-ST-Power,LLC-DY-Power,LLC-Power,CORE-ST-Energy,CORE-DY-Energy,CORE-Energy,LLC-ST-Energy,LLC-DY-Energy,LLC-Energy,
CG,MAA/1K,c,325801808.0,239272125,0,51527469,294035666,11420304,0,162397328,0,21503803,758652892,90380575,0,0,200419019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.669444,358,191,6,185,0,185,0,185,0,185,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,27.370084,301752,332067,209038,123029,45978,67710,1446,66264,3469,31,0,31,46.734219,37738,187423,75107,112316,18979,93336,18502,74834,4701,4647,0,4647,22.100807,32960,135877,56263,79614,18662,49466,86,49380,2,4638,0,4638,24.712166,341535,241166,129433,111733,37627,66153,9204,56949,3179,40,4,36,45.876586,15,37503,28125,9378,4863,4515,4506,9,2,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.49162,2221623,900656,468767,431889,135069,249255,33157,216098,11626,326,20,306,3151611,1614518,0,678751,54550450,0,8254333,3551168,0,80433130,1.3475470405900263,22908927,238007,674911,13.390198752055024,0.13911437381507918,13.529313125870104,97.08423154444559,8.967972755,0.269311370625,113.68720649587502,3.04545396,63.778452767999994,0.559792464,39.627551008,220.9677680665,0,0,0,0,0,0,0,0,0,0,0,0,
CG,MAA/2K,c,280070801.0,213360429,0,35234435,248910296,11374823,0,149742084,0,21499367,658622067,64477651,0,0,184117213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.461111,176,97,2,95,0,95,0,95,0,95,0,95,0,0,2,0,2,0,2,0,2,0,2,0,2,24.460615,157892,318583,189034,129549,50368,74495,1409,73086,1670,31,0,31,46.677745,37765,187387,75080,112307,18992,93314,18488,74826,4700,4650,0,4650,15.011733,100566,124536,56275,68261,18646,35260,96,35164,11,4639,0,4639,26.202047,183454,258126,134984,123142,37652,80918,9171,71747,32,43,1,42,26.366028,56188,37587,28190,9397,4924,4456,4444,12,4,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.021251,1734000,893633,468790,424843,135054,249111,33368,215743,7331,269,22,247,3151611,1614086,0,678031,48052790,0,5664474,1780162,0,69571754,1.2597912719303253,22856672,185976,502698,15.541070353289026,0.12645174678200222,15.667522100071029,97.81840177396279,13.9015608,0.203110974375,97.76780705512502,2.28699528,63.63297484799999,0.43741555199999993,39.449013376,203.77731708550002,0,0,0,0,0,0,0,0,0,0,0,0,
CG,MAA/4K,c,244750114.0,187305841,0,27568734,216792638,11387578,0,130619916,0,21570883,573674707,52478852,0,0,162395723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.826087,84,56,4,52,0,52,0,52,1,51,0,51,0,0,2,0,2,0,2,0,2,0,2,0,2,30.29083,445263,346152,229464,116688,41630,61023,1431,59592,5040,31,0,31,46.80337,37697,187472,75118,112354,18942,93412,18539,74873,4701,4647,0,4647,15.004365,102021,123086,56289,66797,18649,33879,97,33782,8,4638,0,4638,23.123742,474469,249668,123774,125894,37643,84395,9167,75228,3212,36,3,33,26.24844,56195,37575,28186,9389,4920,4460,4448,12,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.100783,1444815,886888,468871,418017,134874,236524,33338,203186,420,233,15,218,3151611,1613870,0,677671,42382754,0,4149502,894779,0,61499918,1.2559037013215815,22831347,160983,406862,17.764148508170585,0.12525436713352153,17.889402875304107,98.23044467437619,13.94239855,0.1639923225,85.4561614695,1.84805832,63.562470047999994,0.378632016,39.36286895999999,190.772183136,0,0,0,0,0,0,0,0,0,0,0,0,
CG,MAA/8K,c,202715845.0,151527773,0,23785053,177606031,11344131,0,105225364,0,20934328,469488352,42083913,0,0,133228913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.797619,39,71,2,69,0,69,0,69,21,48,1,47,0,0,2,0,2,0,2,0,2,0,2,0,2,27.495414,301706,332346,209236,123110,45526,68225,1845,66380,3405,31,0,31,46.644068,37728,187408,75078,112330,19022,93306,18457,74849,18,4650,9,4641,15.081093,100373,124691,56264,68427,18632,34895,111,34784,8,4641,0,4641,24.77845,330762,252172,129362,122810,37653,81082,9180,71902,28,38,4,34,26.214681,56196,37576,28187,9389,4979,4401,4389,12,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.796388,542461,896422,468744,427678,135066,248653,33158,215495,3592,232,26,206,3151696,1613990,0,677716,30219889,0,2548816,454108,0,47296125,1.9064820677962098,22818825,148616,341738,21.435881357981426,0.13960907031355768,21.575490428294984,98.51207629095467,14.00544115,0.130351715625,70.786986700875,1.49756328,63.527608799999996,0.3495448319999999,39.320258992,175.6123143205,0,0,0,0,0,0,0,0,0,0,0,0,
CG,MAA/16K,c,175709320.0,117165955,0,25286418,152133223,11371059,0,90582553,0,20878699,396539208,47038269,0,0,95414104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.734375,18,59,0,59,0,59,0,59,20,39,2,37,0,2,2,0,2,0,2,0,2,0,2,0,2,27.400252,301270,332392,209288,123104,46286,67469,1155,66314,3356,31,0,31,47.377856,24015,201226,88870,112356,19034,93321,18446,74875,9386,4649,9,4640,14.614314,102475,122716,56302,66414,18706,41566,29,41537,15,4638,0,4638,24.697198,342035,240709,129437,111272,42352,59160,9141,50019,48,37,4,33,26.400525,56214,37557,28174,9383,4869,4511,4500,11,3,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.564603,898110,893123,482666,410457,134513,231685,33904,197781,11694,227,23,204,3151696,1613942,0,677636,41093739,0,3286547,232679,0,58685921,1.5962699093737827,22814677,144596,304927,24.726081159769702,0.15671019280168025,24.88279135257138,98.67187867838847,16.30283735,0.114594226875,61.354326482625005,1.32355092,63.516060767999996,0.34008979199999995,39.306275376,165.9548975655,0,0,0,0,0,0,0,0,0,0,0,0,
CG,MAA/32K,c,153540023.0,87556347,0,27712585,130529392,11398738,0,72881218,0,21063771,330078280,56658205,0,0,58610727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.76,4,50,0,50,0,50,0,50,22,28,3,25,0,0,2,0,2,0,2,0,2,0,2,0,2,30.454,445846,346137,229445,116692,41266,61392,1795,59597,5060,31,0,31,46.959554,37660,187437,75070,112367,19027,93330,18453,74877,9376,4651,6,4645,14.972429,99939,125116,56265,68851,18663,35642,85,35557,8,4638,0,4638,23.097422,490250,234378,123706,110672,37984,69537,9105,60432,26,42,5,37,26.716573,56198,37572,28174,9398,4893,4487,4475,12,4,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.414528,986191,873419,468698,404721,139769,217929,33129,184800,7923,209,22,187,3151696,1613918,0,677596,29913806,0,2145090,122160,0,46253872,1.3252149513290614,22809661,139569,266020,28.290002983415857,0.1731024159627961,28.46310539937865,98.84083256823867,19.474170700000002,0.098256106875,53.615764586625005,1.1419728,63.502096224,0.328266288,39.289081759999995,157.9754377655,0,0,0,0,0,0,0,0,0,0,0,0,
PRH,BASE,2M,283032048.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.583711,3432958,82966,6398,76568,4507,72061,0,72061,860,71200,0,71200,5.306755,4670103,76795,866,75929,4918,71011,0,71011,730,70255,0,70255,5.004657,4796451,130084,92,129992,1259,128722,0,128722,7082,121640,0,121640,5.010205,1936489,63547,36,63511,857,62654,0,62654,1,62653,0,62653,5.001945,1000383,8,0,8,3,5,0,5,0,5,0,5,5.004516,1000381,9,0,9,0,9,0,9,0,9,0,9,5.006222,1020419,240,3,237,5,43,0,43,35,8,0,8,5.033991,1020200,630,2,628,114,233,2,231,229,2,0,2,4.813354,5759544,74,1,73,69,1,0,1,0,1,0,1,5.354331,126,1,0,1,0,1,0,1,0,0,0,0,4.266801,105973179,611719,208079,403640,24506,382091,34,382057,13882,331681,48,331633,366,413612,0,17169,635731062,0,423481237,91460031,0,1151450649,6.384124129865333,3394733,1290515,3071324,2.2840509581704604,0.8682868497414531,3.1523378079119135,34.44692788940948,0.341667891,1.0412113125,97.67564399250001,12.49502544,9.450936672,3.03529128,8.021144576,131.719253273,0,0,0,0,0,0,0,0,0,0,0,0,
PRH,MAA/1K,2M,153636718.0,0,32841008,2466976,36080432,0,31433381,0,0,109930744,102821797,1216347,0,0,34091637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.332991,1500970,13020,6704,6316,0,6316,0,6316,41,6275,2,6273,5.527881,2736125,6392,1138,5254,0,5254,0,5254,41,5213,6,5207,5.000078,2855539,66011,17,65994,21,65874,0,65874,5692,60182,1,60181,0,0,0,0,0,0,0,0,0,0,0,0,0,5.560784,366,21,11,10,0,1,0,1,1,0,0,0,5.607843,366,20,10,10,0,1,0,1,1,0,0,0,5.401937,20855,440,57,383,21,67,0,67,63,4,0,4,5.268105,21031,271,53,218,9,34,1,33,33,0,0,0,0,8166,538,0,538,0,33,0,33,33,0,0,0,5.11811,126,1,0,1,1,0,0,0,0,0,0,0,4.844751,47141113,540488,391886,148602,4280,148843,9,148834,11753,84261,50,84211,366,413612,0,17169,314915639,0,170382150,36813555,0,523105693,5.372809804317194,4349771,2169942,2142458,5.391469704557268,2.689607465231252,8.08107716978852,67.13876822492033,7.531147955,0.7217694075,52.80984877950001,8.68249368,12.109762463999997,5.103703584,11.161748656,90.589326571,0,0,0,0,0,0,0,0,0,0,0,0,
PRH,MAA/2K,2M,142397599.0,0,22139343,2093200,27389985,0,22884882,0,0,109176546,74507410,1407955,0,0,22824588,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.326156,1501406,13023,6586,6437,0,6437,0,6437,45,6392,2,6390,5.530546,2736611,6412,1090,5322,0,5322,0,5322,47,5275,5,5270,5.000118,2856532,66059,24,66035,18,65820,0,65820,5536,60284,1,60283,0,0,0,0,0,0,0,0,0,0,0,0,0,5.564706,366,21,11,10,0,1,0,1,1,0,0,0,5.607843,365,20,10,10,0,1,0,1,1,0,0,0,5.416478,20267,431,55,376,8,65,0,65,61,4,0,4,5.279049,20433,275,54,221,9,33,1,32,32,0,0,0,0,7930,518,0,518,0,32,0,32,32,0,0,0,5.11811,126,1,0,1,1,0,0,0,0,0,0,0,4.765111,46679631,507337,361996,145341,4489,144827,12,144815,11460,83365,43,83322,366,413612,0,17169,308585581,0,169211395,36152669,0,514838672,5.662404628539215,3900972,1723008,1418236,5.216821305648436,2.3042013232093694,7.521022628857805,74.78234275370824,6.320905444999999,0.48642301875,49.19246174325001,5.81141616,10.860306048,4.0525148159999995,9.628253759999998,80.031375546,0,0,0,0,0,0,0,0,0,0,0,0,
PRH,MAA/4K,2M,132108363.0,0,15796563,1730419,19930915,0,16739984,0,0,107431921,54197881,1574939,0,0,15952043,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.323974,1502047,13009,6645,6364,0,6364,0,6364,48,6316,2,6314,5.535569,2738052,6326,1031,5295,0,5295,0,5295,44,5251,1,5250,5.000009,2858541,65977,20,65957,17,65848,1,65847,6017,59830,2,59828,0,0,0,0,0,0,0,0,0,0,0,0,0,5.564706,366,21,11,10,0,1,0,1,1,0,0,0,5.611765,365,20,10,10,0,1,0,1,1,0,0,0,5.407055,20846,443,56,387,19,65,0,65,61,4,0,4,5.288301,21016,278,53,225,13,34,1,33,33,0,0,0,0,8173,531,0,531,0,33,0,33,33,0,0,0,5.11811,126,1,0,1,1,0,0,0,0,0,0,0,4.640293,46620046,460997,318137,142860,5386,140779,13,140766,11886,82155,83,82072,366,413612,0,17169,304762914,0,168568991,35819043,0,509988124,5.9209817572381915,3674039,1497389,989541,5.29601554914783,2.1584407316097955,7.454456280757626,80.86522716742842,5.182833909999999,0.346236901875,45.779425172625,4.10543676,10.228524576,3.521858928,8.853484736,72.8349670745,0,0,0,0,0,0,0,0,0,0,0,0,
PRH,MAA/8K,2M,130029879.0,0,12936864,1534390,16543994,0,13759103,0,0,108589698,44774351,1657890,0,0,12813364,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.292953,1501794,13016,6592,6424,0,6424,0,6424,53,6371,2,6369,5.538874,2738054,6466,1046,5420,0,5420,0,5420,50,5370,3,5367,5.000075,2858031,65905,22,65883,29,65832,0,65832,5827,60005,2,60003,0,0,0,0,0,0,0,0,0,0,0,0,0,5.564706,366,21,11,10,0,1,0,1,1,0,0,0,5.607843,366,20,10,10,0,1,0,1,1,0,0,0,5.416375,19716,402,46,356,12,62,0,62,58,4,0,4,5.28184,19862,257,51,206,8,32,1,31,31,0,0,0,0,7697,495,0,495,0,31,0,31,31,0,0,0,5.11811,126,1,0,1,1,0,0,0,0,0,0,0,4.63756,46740723,518804,369278,149526,3745,150106,6,150100,12369,84076,75,84001,366,413612,0,17169,310210372,0,168886164,35663488,0,515574310,6.023395715586261,3562209,1384044,757432,5.216894338160619,2.02694769098758,7.243842029148199,84.68675176947075,4.66104102,0.26997536625,45.15454320075,3.17909952,9.917189856,3.255271488,8.467985136,70.244064567,0,0,0,0,0,0,0,0,0,0,0,0,
PRH,MAA/16K,2M,127943759.0,0,11657649,1459835,15124030,0,12625315,0,0,107517114,40866829,1788652,0,0,11328832,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.300765,1501704,13066,6672,6394,0,6394,0,6394,54,6340,0,6340,5.524122,2738611,6362,1066,5296,0,5296,0,5296,45,5251,1,5250,5.000065,2858815,65904,25,65879,23,65837,0,65837,5990,59847,1,59846,0,0,0,0,0,0,0,0,0,0,0,0,0,5.564706,366,21,11,10,0,1,0,1,1,0,0,0,5.858824,365,20,10,10,0,1,0,1,1,0,0,0,5.419592,20284,434,55,379,18,66,0,66,62,4,0,4,5.279502,20435,266,52,214,11,33,1,32,32,0,0,0,0,7947,501,0,501,0,32,0,32,32,0,0,0,5.11811,126,1,0,1,1,0,0,0,0,0,0,0,4.618667,46631830,510065,360008,150057,3215,151164,12,151152,13062,83881,87,83794,366,413612,0,17169,310352490,0,168810951,35579874,0,515546045,6.093953039588582,3504613,1327538,603603,5.216230311380187,1.9758940445375939,7.19212435591778,87.50860641565217,4.48293376,0.21877731375,44.49323293125,2.56031988,9.756842592,3.1223693759999995,8.272642512,68.42418460500001,0,0,0,0,0,0,0,0,0,0,0,0,
PRH,MAA/32K,2M,127518489.0,0,11129873,1436609,14915002,0,12730606,0,0,107625897,40212090,1781616,0,0,10784866,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.303197,1502821,13025,6680,6345,0,6345,0,6345,47,6298,0,6298,5.517656,2739613,6367,1029,5338,0,5338,0,5338,42,5296,0,5296,5.000008,2859364,65991,14,65977,22,65915,0,65915,6008,59907,1,59906,0,0,0,0,0,0,0,0,0,0,0,0,0,5.572549,366,21,11,10,0,1,0,1,1,0,0,0,5.678431,365,20,10,10,0,1,0,1,1,0,0,0,5.413647,20292,433,55,378,14,65,0,65,61,4,0,4,5.273443,20424,267,51,216,8,33,1,32,32,0,0,0,0,7943,505,0,505,0,32,0,32,32,0,0,0,5.11811,126,1,0,1,1,0,0,0,0,0,0,0,4.629827,46623443,510756,360793,149963,3473,150836,11,150825,12888,83875,72,83803,366,413612,0,17169,309048304,0,168682839,35559405,0,514089543,6.124398611369485,3489130,1313651,486204,5.210504741423554,1.96174541048221,7.172250151905764,89.87661523604761,4.40173006,0.18115695,44.395030596,2.09883024,9.713737919999998,3.089707152,8.222361071999998,67.70082393,0,0,0,0,0,0,0,0,0,0,0,0,
PRO,BASE,2M,218517507.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.640601,2905956,94898,18735,76163,4872,71291,0,71291,771,70519,0,70519,5.499352,2927467,77503,1825,75678,4732,70946,0,70946,951,69974,0,69974,5.011017,1936106,64004,70,63934,1276,62658,0,62658,1,62657,0,62657,5.013009,1936472,63568,41,63527,868,62659,0,62659,1,62658,0,62658,5.001943,1000383,9,0,9,3,6,0,6,0,6,0,6,5.004616,1000381,9,0,9,0,9,0,9,0,9,0,9,5.006052,1020447,238,3,235,6,41,0,41,34,7,0,7,5.033901,1020170,654,5,649,107,234,2,232,230,2,0,2,4.813972,5760385,71,1,70,67,1,0,1,0,1,0,1,5.354331,126,1,0,1,0,1,0,1,0,0,0,0,4.284365,78545575,419662,102563,317099,26282,291564,21,291543,5892,269030,41,268989,366,1068972,0,17169,487812336,0,338066269,76001939,0,903315070,6.628305798225014,3124476,1071616,2644438,2.7228689551374052,0.9338749723884985,3.6567439275259037,36.97855051795814,0.40966112899999996,0.88685487375,75.29962593825,10.68702408,8.698541184,2.520440832,7.183709504,105.276196412,0,0,0,0,0,0,0,0,0,0,0,0,
PRO,MAA/1K,2M,89298199.0,0,32975708,2476784,36509693,0,31740451,0,0,45533411,103702636,1226701,0,0,34225791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29643,977855,22999,17495,5504,1,5503,0,5503,39,5464,0,5464,6.391465,997919,7042,1943,5099,2,5097,0,5097,33,5064,0,5064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.564706,366,21,11,10,0,1,0,1,1,0,0,0,5.607843,366,20,10,10,0,1,0,1,1,0,0,0,5.401529,20269,429,55,374,25,62,0,62,60,2,0,2,5.270159,20449,273,53,220,14,33,1,32,32,0,0,0,0,7928,520,0,520,0,32,0,32,32,0,0,0,5.11811,126,1,0,1,1,0,0,0,0,0,0,0,5.564901,19651538,448475,370594,77881,5491,76479,9,76470,5477,21049,57,20992,366,1068972,0,17169,165001562,0,84797363,21351449,0,272800144,5.284439912498447,4071309,1943125,1915428,8.682147923982956,4.143752951394596,12.825900875377553,68.1528137144742,12.9346137,0.634926435,30.404520432000005,7.68578928,11.334524256,4.57023,10.296711008,64.92670141100001,0,0,0,0,0,0,0,0,0,0,0,0,
PRO,MAA/2K,2M,79360151.0,0,22115366,2075196,26972646,0,22483445,0,0,46156186,73646653,1380569,0,0,22809993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.436826,977412,22967,17556,5411,0,5411,0,5411,42,5369,1,5368,6.384526,997467,7030,2021,5009,3,5006,0,5006,33,4973,0,4973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.576471,366,21,11,10,0,1,0,1,1,0,0,0,5.607843,365,20,10,10,0,1,0,1,1,0,0,0,5.413226,19680,419,53,366,21,62,0,62,60,2,0,2,5.274318,19854,259,51,208,8,32,1,31,31,0,0,0,0,7693,499,0,499,0,31,0,31,31,0,0,0,5.11811,126,1,0,1,1,0,0,0,0,0,0,0,5.463114,19397052,466555,387205,79350,5437,78423,6,78417,5564,21212,66,21146,366,1068972,0,17169,164092613,0,84105301,20696817,0,270440010,5.7897930016166175,3621818,1494468,1198204,8.690803974797152,3.586079818093331,12.276883792890484,76.58058990447367,11.2665758,0.40175206125,27.239659704750004,4.84169904,10.083141312,3.5149887359999994,8.759081632,54.840322486000005,0,0,0,0,0,0,0,0,0,0,0,0,
